school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,parent_edu_avg,parent_edu_max,parent_edu_diff,study_leisure_ratio,study_leisure_diff,social_engagement,total_alcohol,alcohol_weekly_avg,support_score,grade_progression,grade_avg_g1g2,grade_trend,age_above_avg,absence_category,log_absences,studytime_x_parent_edu,failures_x_absences,internet_x_higher,famsup_x_studytime,alcohol_x_studytime,high_absence_risk,has_failures,multiple_failures,low_study_risk,high_alcohol_risk,combined_risk_score
0,0,15,1,1,1,4,4,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,9,False,False,False,True,True,False,False,False,False,False,True,True,False,4.0,4,0,0.5,-1,3,3,1.2857142857142858,2,-2,9.0,-1,0,0,0.0,8.0,0,1,2,6,0,0,0,0,0,0
0,0,15,1,1,1,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10,12,12,False,False,True,False,False,True,False,False,False,False,True,False,False,1.5,2,1,1.0,1,3,2,1.0,1,2,11.0,1,0,1,1.6094379124341003,4.5,0,1,3,6,0,0,0,0,0,0
0,1,15,1,0,1,4,4,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,14,True,False,False,False,False,False,True,False,False,False,False,False,False,4.0,4,0,0.25,-2,4,4,1.5714285714285714,2,0,14.0,0,0,1,1.0986122886681098,4.0,0,1,1,4,0,0,0,1,0,1
0,1,15,1,1,1,4,3,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,11,False,False,False,True,False,True,False,False,False,False,False,True,False,3.5,4,1,0.4,-2,3,3,1.2857142857142858,2,0,10.0,0,0,1,1.0986122886681098,7.0,0,1,2,6,0,0,0,0,0,0
0,1,15,1,1,0,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16,16,False,True,False,False,False,True,False,False,True,False,False,False,True,2.0,2,0,0.5,-2,3,2,1.0,1,2,15.0,1,0,0,0.0,6.0,0,1,3,6,0,0,0,0,0,0
0,0,16,1,1,1,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,14,True,False,False,False,False,True,False,False,True,False,False,True,False,4.0,4,0,0.2,-3,4,3,1.2857142857142858,1,0,14.0,0,0,1,1.6094379124341003,4.0,0,1,1,3,0,0,0,1,0,1
0,0,16,1,1,1,4,4,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,14,False,False,True,False,False,False,True,False,False,False,True,True,False,4.0,4,0,1.0,1,4,3,1.2857142857142858,2,1,13.5,1,0,2,1.9459101490553132,12.0,0,1,3,9,0,0,0,0,0,0
0,0,16,1,1,1,3,3,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,8,10,10,False,True,False,False,False,True,False,False,False,False,True,True,False,3.0,3,0,0.5,-1,3,2,1.0,2,2,9.0,1,0,1,1.6094379124341003,6.0,0,0,2,4,0,0,0,0,0,0
0,1,17,1,1,1,3,2,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,6,5,5,False,False,True,False,False,False,True,False,False,False,False,True,False,2.5,3,1,0.16666666666666666,-4,6,6,2.5714285714285716,1,-1,5.5,-1,1,3,2.833213344056216,2.5,48,1,1,6,1,1,1,1,0,3
0,1,16,1,0,1,4,3,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10,10,True,False,False,False,False,True,False,False,True,False,False,False,False,3.5,4,1,0.5,0,4,4,1.5714285714285714,1,2,9.0,1,0,1,1.6094379124341003,3.5,0,1,0,4,0,0,0,1,0,1
0,1,15,1,1,1,4,3,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,15,False,False,False,True,False,True,False,False,False,False,True,True,False,3.5,4,1,0.4,-2,1,2,1.0,0,1,13.5,1,0,0,0.0,7.0,0,1,0,4,0,0,0,0,0,0
0,1,15,1,1,1,4,4,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,12,15,15,True,False,False,False,True,False,False,False,False,True,False,False,False,4.0,4,0,0.2,-3,2,2,1.0,2,3,13.5,1,0,0,0.0,4.0,0,1,1,2,0,0,0,1,0,1
0,1,16,1,0,1,4,2,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15,15,16,False,False,False,True,False,True,False,False,False,False,False,True,False,3.0,4,2,0.3333333333333333,-3,2,4,1.5714285714285714,0,0,15.0,0,0,1,1.0986122886681098,6.0,0,1,0,8,0,0,0,0,0,0
0,1,16,1,0,1,2,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,12,False,True,False,False,False,True,False,False,False,False,True,True,False,2.0,2,0,0.4,-2,5,6,2.5714285714285716,1,0,13.0,0,0,0,0.0,4.0,0,1,2,12,0,0,0,0,0,0
0,0,15,0,1,1,2,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9,8,False,False,True,False,True,False,False,False,False,False,False,True,False,3.0,4,2,0.75,0,3,2,1.0,3,-1,9.5,-1,0,1,1.0986122886681098,9.0,0,1,3,6,0,0,0,0,0,0
0,0,16,1,1,1,2,2,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,6,9,8,False,False,True,False,False,False,True,False,True,False,False,True,False,2.0,2,0,0.3333333333333333,-1,2,4,1.5714285714285714,2,3,7.5,1,0,3,2.70805020110221,2.0,28,1,1,4,1,1,1,1,0,3
0,1,15,1,1,1,2,2,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,11,False,True,False,False,False,True,False,False,True,False,False,True,False,2.0,2,0,0.3333333333333333,-1,2,3,1.2857142857142858,2,0,12.0,0,0,1,1.0986122886681098,2.0,0,1,1,3,0,0,0,1,0,1
0,1,15,1,1,1,4,2,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,16,15,True,False,False,False,False,False,True,False,False,True,False,True,False,3.0,4,2,0.3333333333333333,-1,4,6,2.5714285714285716,1,1,15.5,1,0,1,1.6094379124341003,3.0,0,1,0,6,0,0,0,1,0,1
0,1,16,1,0,0,3,4,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,11,11,False,False,True,False,False,True,False,False,True,False,False,True,False,3.5,4,1,0.5,-1,4,2,1.0,2,0,11.0,0,0,1,1.6094379124341003,7.0,0,1,2,4,0,0,0,0,0,0
0,1,16,1,1,1,4,4,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,10,12,11,False,False,False,True,False,False,False,True,True,False,False,True,False,4.0,4,0,0.4,-2,7,10,5.0,2,2,11.0,1,0,3,2.833213344056216,8.0,0,1,2,20,1,0,0,0,1,2
0,1,15,1,1,1,4,4,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11,12,True,False,False,False,False,False,True,False,True,False,False,True,False,4.0,4,0,0.4,-2,2,7,3.2857142857142856,2,2,10.0,1,0,0,0.0,8.0,0,1,2,14,0,0,0,0,1,1
0,1,15,1,1,1,4,4,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,16,17,False,False,True,False,False,False,True,False,False,False,True,True,False,4.0,4,0,0.5,-1,2,2,1.0,1,-1,16.5,-1,0,0,0.0,8.0,0,1,2,4,0,0,0,0,0,0
0,1,15,0,1,1,4,3,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17,16,16,False,False,False,True,False,False,False,False,False,False,False,True,False,3.5,4,1,0.3333333333333333,-3,4,2,1.0,1,-1,16.5,-1,0,0,0.0,7.0,0,1,2,4,0,0,0,0,0,0
0,1,15,1,0,1,3,3,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,8,10,12,False,True,False,False,False,True,False,False,False,False,False,True,False,3.0,3,0,0.5,-1,3,2,1.0,0,2,9.0,1,0,0,0.0,6.0,0,1,0,4,0,0,0,0,0,0
0,1,16,1,1,1,3,2,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,12,14,15,False,True,False,False,False,True,False,False,True,False,False,True,False,2.5,3,1,0.2,-3,3,2,1.0,2,2,13.0,1,0,0,0.0,2.5,0,1,1,2,0,0,0,1,0,1
0,0,15,1,1,1,2,3,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,8,7,6,False,True,False,False,False,True,False,False,False,True,False,False,False,2.5,3,1,0.16666666666666666,-4,2,2,1.0,1,-1,7.5,-1,0,0,0.0,2.5,0,0,1,2,0,0,0,1,0,1
0,1,15,1,0,1,4,3,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,15,16,18,False,False,False,True,False,False,True,False,True,False,False,True,False,3.5,4,1,0.6,-1,4,2,1.0,1,1,15.5,1,0,1,1.0986122886681098,10.5,0,1,3,6,0,0,0,0,0,0
0,1,16,0,1,0,4,4,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15,16,15,False,True,False,False,False,False,False,True,False,False,True,True,False,4.0,4,0,0.6,-1,5,2,1.0,1,1,15.5,1,0,2,2.0794415416798357,12.0,0,1,3,6,0,0,0,0,0,0
0,0,15,0,1,1,3,4,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,12,12,11,False,False,True,False,True,False,False,False,False,False,False,True,False,3.5,4,1,0.75,0,3,2,1.0,3,0,12.0,0,0,1,1.0986122886681098,10.5,0,1,3,6,0,0,0,0,0,0
0,0,15,0,1,1,2,2,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,14,13,13,False,False,False,False,False,True,False,False,False,False,True,True,False,2.0,2,0,0.25,-2,2,2,1.0,3,-1,13.5,-1,0,2,2.1972245773362196,2.0,0,0,1,2,0,0,0,1,0,1
0,0,16,1,0,1,2,2,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,7,10,11,False,True,False,False,False,True,False,False,True,False,False,True,False,2.0,2,0,0.5,-1,5,3,1.2857142857142858,1,3,8.5,1,0,4,3.258096538021482,4.0,25,1,2,6,1,1,0,0,0,2
0,1,15,1,0,1,4,4,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,12,12,12,False,False,False,True,False,True,False,False,True,False,False,False,True,4.0,4,0,0.2,-3,4,6,2.5714285714285716,1,0,12.0,0,0,2,2.1972245773362196,4.0,0,1,1,6,0,0,0,1,0,1
0,1,15,1,1,1,4,4,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,19,18,18,False,False,True,False,False,False,False,True,False,False,False,False,False,4.0,4,0,0.5,-1,4,2,1.0,1,-1,18.5,-1,0,1,1.0986122886681098,8.0,0,1,2,4,0,0,0,0,0,0
0,1,15,1,1,1,2,2,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,8,8,11,False,False,True,False,False,False,True,False,False,False,False,False,False,2.0,2,0,0.2,-3,1,2,1.0,2,0,8.0,0,0,0,0.0,2.0,0,1,1,2,0,0,0,1,0,1
0,0,16,1,0,1,2,2,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,10,9,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,2,0,0.5,-1,4,4,2.0,1,0,10.0,0,0,3,2.70805020110221,4.0,14,1,0,8,1,1,0,0,0,2
0,0,15,1,0,0,4,3,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,8,8,6,False,True,False,False,False,True,False,False,False,False,False,True,False,3.5,4,1,0.6666666666666666,0,4,2,1.0,3,0,8.0,0,0,2,2.1972245773362196,7.0,0,1,2,4,0,0,0,0,0,0
0,0,16,1,0,0,3,3,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,11,12,11,False,True,False,False,False,False,True,False,True,False,False,True,False,3.0,3,0,0.5,-1,5,5,1.8571428571428572,1,1,11.5,1,0,3,2.5649493574615367,6.0,0,1,2,10,1,0,0,0,0,1
0,1,16,1,1,1,4,3,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19,19,20,True,False,False,False,False,False,True,False,False,False,True,True,False,3.5,4,1,1.3333333333333333,2,3,2,1.0,0,0,19.0,0,0,1,1.6094379124341003,14.0,0,1,0,8,0,0,0,0,0,0
0,1,15,1,1,1,4,2,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,15,15,14,False,False,False,True,False,True,False,False,True,False,False,True,False,3.0,4,2,0.5,-1,3,4,2.0,2,0,15.0,0,0,1,1.0986122886681098,6.0,0,0,2,8,0,0,0,0,0,0
0,0,15,1,1,1,4,4,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,7,7,7,False,False,True,False,False,False,False,True,False,True,False,False,False,4.0,4,0,0.4,-2,5,2,1.0,2,0,7.0,0,0,1,1.0986122886681098,8.0,2,1,2,4,0,1,0,0,0,1
0,0,16,1,0,1,2,2,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,12,13,13,False,False,True,False,False,False,True,False,False,False,False,True,False,2.0,2,0,0.5,-1,3,5,2.2857142857142856,2,1,12.5,1,0,1,1.0986122886681098,4.0,0,1,2,10,0,0,0,0,0,0
0,0,15,1,0,1,4,2,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,11,13,13,True,False,False,False,False,True,False,False,False,True,False,True,False,3.0,4,2,0.5,-1,3,2,1.0,2,2,12.0,1,0,1,1.0986122886681098,6.0,0,1,2,4,0,0,0,0,0,0
0,1,15,1,0,0,4,2,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,11,11,10,True,False,False,False,True,False,False,False,False,True,False,False,False,3.0,4,2,0.16666666666666666,-4,5,7,3.2857142857142856,0,0,11.0,0,0,2,1.9459101490553132,3.0,6,0,0,7,0,1,0,1,1,3
0,0,15,1,1,1,4,4,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,8,10,11,False,False,True,False,False,False,True,False,False,False,False,True,False,4.0,4,0,0.25,-2,4,5,2.2857142857142856,3,2,9.0,1,0,0,0.0,4.0,0,1,1,5,0,0,0,1,0,1
0,0,15,1,0,0,3,3,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,10,13,13,False,True,False,False,False,True,False,False,False,True,False,True,False,3.0,3,0,0.25,-2,4,8,4.0,1,3,11.5,1,0,2,1.9459101490553132,3.0,0,1,0,8,0,0,0,1,1,2
0,0,16,1,1,0,2,1,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,8,9,10,False,True,False,False,False,True,False,False,False,True,False,True,False,1.5,2,1,0.5,-1,6,2,1.0,1,1,8.5,1,0,2,2.1972245773362196,3.0,0,1,0,4,0,0,0,0,0,0
0,0,15,1,1,0,4,3,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,14,15,15,False,False,True,False,False,False,True,False,False,False,True,True,False,3.5,4,1,0.5,-1,3,2,1.0,2,1,14.5,1,0,0,0.0,7.0,0,1,2,4,0,0,0,0,0,0
0,1,15,1,1,1,4,4,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,14,15,15,False,False,False,True,True,False,False,False,False,False,True,True,False,4.0,4,0,0.6666666666666666,0,3,2,1.0,1,1,14.5,1,0,1,1.6094379124341003,8.0,0,0,2,4,0,0,0,0,0,0
0,1,15,1,0,1,1,2,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9,10,9,False,True,False,False,False,False,False,False,True,False,False,False,False,1.5,2,1,0.5,-1,3,2,1.0,2,1,9.5,1,0,1,1.0986122886681098,3.0,0,1,2,4,0,0,0,0,0,0
0,0,16,1,1,1,4,2,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15,16,16,False,False,True,False,False,True,False,False,False,False,False,True,False,3.0,4,2,0.6666666666666666,0,3,2,1.0,1,1,15.5,1,0,1,1.0986122886681098,6.0,0,1,2,4,0,0,0,0,0,0
0,0,16,0,1,1,4,4,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,10,11,11,True,False,False,False,False,False,False,True,False,True,False,True,False,4.0,4,0,0.4,-2,5,5,2.2857142857142856,1,1,10.5,1,0,2,1.9459101490553132,8.0,0,0,2,10,0,0,0,0,0,0
0,0,16,1,1,1,1,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,10,8,11,False,False,True,False,False,False,True,False,False,False,False,False,False,1.0,1,0,0.16666666666666666,-4,7,10,5.0,2,-2,9.0,-1,0,2,1.9459101490553132,1.0,0,1,1,10,0,0,0,1,1,2
0,0,16,1,0,1,1,2,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,8,10,9,False,True,False,False,False,False,True,False,False,False,True,False,False,1.5,2,1,0.4,-2,4,2,1.0,1,2,9.0,1,0,1,1.6094379124341003,3.0,0,1,0,4,0,0,0,0,0,0
0,0,16,1,1,1,4,3,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,10,9,9,False,False,False,True,True,False,False,False,True,False,False,True,False,3.5,4,1,0.6,-1,5,6,2.5714285714285716,3,-1,9.5,-1,0,1,1.0986122886681098,10.5,0,1,3,18,0,0,0,0,0,0
0,0,15,1,0,1,4,3,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,10,10,10,False,False,True,False,False,False,True,False,False,False,True,False,False,3.5,4,1,0.4,-2,6,6,2.5714285714285716,1,0,10.0,0,0,0,0.0,7.0,0,1,0,12,0,0,0,0,0,0
0,0,16,1,0,1,4,3,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,15,False,False,False,True,False,False,True,False,False,False,False,True,False,3.5,4,1,0.4,-2,4,3,1.2857142857142858,1,-1,15.5,-1,0,1,1.0986122886681098,7.0,0,1,2,6,0,0,0,0,0,0
0,1,15,1,1,0,4,4,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,13,13,12,False,True,False,False,False,False,True,False,False,False,True,True,False,4.0,4,0,1.0,1,5,10,5.0,1,0,13.0,0,0,1,1.6094379124341003,16.0,0,1,4,40,0,0,0,0,1,1
0,0,16,1,1,1,3,1,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,7,7,6,False,False,True,False,False,True,False,False,False,False,False,True,False,2.0,3,2,1.0,1,3,3,1.2857142857142858,3,0,7.0,0,0,1,1.6094379124341003,8.0,0,1,4,12,0,0,0,0,0,0
0,0,15,0,0,1,2,2,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8,9,8,True,False,False,False,False,False,True,False,False,False,True,True,False,2.0,2,0,1.0,1,3,4,1.5714285714285714,3,1,8.5,1,0,1,1.0986122886681098,4.0,0,1,2,8,0,0,0,0,0,0
0,0,15,0,0,1,3,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16,16,16,False,True,False,False,False,True,False,False,False,False,True,False,False,2.0,3,2,0.8,0,2,5,2.2857142857142856,1,0,16.0,0,0,3,2.5649493574615367,8.0,0,1,4,20,1,0,0,0,0,1
0,1,16,1,1,1,3,1,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,13,15,15,False,True,False,False,False,True,False,False,False,False,True,False,False,2.0,3,2,1.0,1,2,2,1.0,2,2,14.0,1,0,0,0.0,8.0,0,1,4,8,0,0,0,0,0,0
0,1,15,1,1,1,4,2,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10,10,10,False,True,False,False,False,True,False,False,False,False,False,True,False,3.0,4,2,1.0,1,3,2,1.0,0,0,10.0,0,0,0,0.0,12.0,0,1,0,8,0,0,0,0,0,0
0,0,15,0,1,1,1,1,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,8,6,5,False,True,False,False,False,True,False,False,False,False,True,True,False,1.0,1,0,0.5,-1,5,6,2.5714285714285716,2,-2,7.0,-1,0,1,1.0986122886681098,2.0,4,1,2,12,0,1,1,0,0,1
0,1,16,1,1,1,3,1,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,12,12,14,False,True,False,False,False,True,False,False,False,False,True,True,False,2.0,3,2,0.25,-2,3,4,2.0,0,0,12.0,0,0,1,1.0986122886681098,2.0,0,0,0,4,0,0,0,1,0,1
0,0,16,1,1,1,3,3,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,11,12,11,False,True,False,False,False,False,True,False,True,False,False,True,False,3.0,3,0,0.5,-1,4,6,2.5714285714285716,3,1,11.5,1,0,4,4.007333185232471,6.0,0,1,2,12,1,0,0,0,0,1
0,1,15,1,1,1,4,3,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,9,9,10,False,False,False,True,False,True,False,False,True,False,False,True,False,3.5,4,1,0.5,-1,4,5,2.2857142857142856,2,0,9.0,0,0,2,1.9459101490553132,7.0,0,1,2,10,0,0,0,0,0,0
0,1,15,1,1,1,4,0,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,11,11,10,False,False,False,True,False,True,False,False,False,False,False,True,False,2.0,4,4,0.8,0,4,2,1.0,0,0,11.0,0,0,2,2.1972245773362196,8.0,0,1,0,8,0,0,0,0,0,0
0,0,16,1,1,1,2,2,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11,11,11,False,True,False,False,False,True,False,False,False,False,True,True,False,2.0,2,0,1.3333333333333333,2,4,4,1.5714285714285714,1,0,11.0,0,0,0,0.0,8.0,0,1,0,16,0,0,0,0,0,0
0,1,17,1,1,1,2,1,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,8,8,10,False,True,False,False,False,True,False,False,True,False,False,True,False,1.5,2,1,0.16666666666666666,-4,2,2,1.0,2,0,8.0,0,1,1,1.0986122886681098,1.5,6,0,1,2,0,1,1,1,0,2
0,0,16,1,1,1,3,4,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,5,5,5,False,False,False,False,False,True,False,False,False,False,False,True,False,3.5,4,1,0.4,-2,3,3,1.2857142857142858,1,0,5.0,0,0,3,2.5649493574615367,7.0,0,1,2,6,1,0,0,0,0,1
0,1,15,1,1,1,2,3,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,10,12,12,False,True,False,False,False,False,True,False,False,False,False,False,False,2.5,3,1,0.3333333333333333,-1,4,4,1.5714285714285714,3,2,11.0,1,0,1,1.0986122886681098,2.5,0,1,1,4,0,0,0,1,0,1
0,1,15,1,1,1,2,3,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,11,10,11,False,True,False,False,False,True,False,False,True,False,False,True,False,2.5,3,1,0.75,0,2,3,1.2857142857142858,2,-1,10.5,-1,0,1,1.6094379124341003,7.5,0,1,0,9,0,0,0,0,0,0
0,0,15,1,0,1,3,2,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,7,6,6,False,False,True,False,False,True,False,False,False,False,True,True,False,2.5,3,1,0.4,-2,4,2,1.0,2,-1,6.5,-1,0,2,2.3978952727983707,5.0,0,1,2,4,1,0,0,0,0,1
0,1,15,1,0,1,2,2,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15,15,15,False,False,True,False,False,False,True,False,True,False,False,True,False,2.0,2,0,0.5,-1,4,4,1.5714285714285714,1,0,15.0,0,0,1,1.6094379124341003,4.0,0,1,0,8,0,0,0,0,0,0
